,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
30,thompson,55.7435,-97.8558,27.09,50,75,1.03,CA,1721591584
31,port mathurin,-19.6833,63.4167,22.74,69,9,6.12,MU,1721591591
32,azare,11.6765,10.1948,24.56,81,98,2.94,NG,1721591591
33,la'ie,21.6477,-157.9253,27.98,75,100,4.92,US,1721591592
34,kijang,35.2442,129.2139,26.85,95,5,3.44,KR,1721591592
35,bethel,41.3712,-73.414,30.5,51,0,4.12,US,1721591592
36,mcfarland,35.678,-119.2293,36.94,17,0,2.06,US,1721591592
37,utrik,11.2278,169.8474,27.92,81,86,7.28,MH,1721591592
38,lushoto,-4.7833,38.2833,12.72,96,94,1.68,TZ,1721591593
39,motueka,-41.1333,173.0167,9.5,86,100,2.11,NZ,1721591593
40,kapuskasing,49.4169,-82.4331,21.05,49,100,6.17,CA,1721591593
41,mejit,10.2753,170.8646,28.1,79,100,6.56,MH,1721591593
42,bredasdorp,-34.5322,20.0403,6.94,86,0,1.06,ZA,1721591593
43,isafjordur,66.0755,-23.124,9.02,76,75,6.69,IS,1721591594
44,tiksi,71.6872,128.8694,4.41,88,100,1.97,RU,1721591594
45,avarua,-21.2078,-159.775,25.03,57,40,6.69,CK,1721591592
46,iqaluit,63.7506,-68.5145,17.85,45,20,3.09,CA,1721591594
47,berriane,32.8265,3.7669,40.45,12,100,5.96,DZ,1721591594
48,margaret river,-33.95,115.0667,15.83,76,49,9.88,AU,1721591595
49,bikaner,28.0167,73.3,35.92,46,100,7.82,IN,1721591595
50,apostolove,47.66,33.7137,26.27,25,100,2.82,UA,1721591595
51,newman,37.3138,-121.0208,33.13,14,0,0.26,US,1721591595
52,olonkinbyen,70.9221,-8.7187,5.86,93,100,8.15,SJ,1721591595
53,port alfred,-33.5906,26.891,12.64,70,4,2.68,ZA,1721591596
54,akureyri,65.6835,-18.0878,10.96,71,75,5.14,IS,1721591596
55,katsuren-haebaru,26.3369,127.8719,30.05,85,20,3.6,JP,1721591596
56,mawu,34.4307,104.9176,16.56,96,100,1.6,CN,1721591597
57,aykhal,66.0,111.5,13.32,93,100,7.11,RU,1721591597
58,susuman,62.7833,148.1667,11.99,93,100,0.74,RU,1721591597
59,turpan,42.9333,89.1667,35.52,23,84,2.25,CN,1721591597
60,novyy urengoy,66.0833,76.6333,9.38,62,0,3.68,RU,1721591597
61,bardai,11.65,7.2333,22.2,90,100,2.66,NG,1721591598
62,kosh-agach,50.0,88.6667,11.76,78,100,3.5,RU,1721591598
63,nakamura,32.9833,132.9333,25.35,98,5,1.03,JP,1721591598
64,bonny,4.4522,7.1681,25.49,82,63,3.77,NG,1721591598
65,kingston,17.997,-76.7936,33.53,70,20,8.75,JM,1721591573
66,rio grande,-32.035,-52.0986,19.06,80,100,1.82,BR,1721591599
67,ribeira grande,38.5167,-28.7,25.22,78,20,3.6,PT,1721591599
68,egilsstadir,65.2653,-14.3948,10.95,71,100,2.06,IS,1721591599
69,sao gabriel,-30.3364,-54.32,21.06,76,100,1.13,BR,1721591599
70,charles city,43.0664,-92.6724,27.49,68,40,2.06,US,1721591599
71,boca suno,-0.7167,-77.1333,24.77,64,86,0.67,EC,1721591600
72,kajuru,10.3192,7.6892,21.13,96,100,1.99,NG,1721591600
73,port elizabeth,-33.918,25.5701,8.94,87,0,2.06,ZA,1721591600
74,khandyga,62.6667,135.6,12.85,95,74,0.52,RU,1721591600
75,chonchi,-42.6128,-73.8092,11.56,76,5,0.36,CL,1721591601
76,verkhnevilyuysk,63.4453,120.3167,17.23,60,100,3.33,RU,1721591601
77,grytviken,-54.2811,-36.5092,0.79,89,47,4.37,GS,1721591601
78,vernon,50.2581,-119.2691,33.74,24,0,1.54,CA,1721591601
79,panama city beach,30.1766,-85.8055,32.25,71,80,1.34,US,1721591601
80,bilgi,16.35,75.6167,23.19,87,100,7.6,IN,1721591602
81,devrekani,41.603,33.8392,18.33,77,1,0.99,TR,1721591602
82,alofi,-19.0595,-169.9187,24.94,73,75,3.6,NU,1721591602
83,mukalla,14.5425,49.1242,28.72,73,100,3.71,YE,1721591602
84,erenhot,43.6475,111.9767,24.32,58,19,4.97,CN,1721591602
85,kostomuksha,64.571,30.5767,13.0,74,27,2.32,RU,1721591603
86,constantia,44.1833,28.65,26.38,77,95,1.2,RO,1721591603
87,tofol,5.3248,163.0078,29.0,75,93,6.02,FM,1721591603
88,pariaman,-0.619,100.12,26.03,87,79,2.39,ID,1721591603
89,jamestown,42.097,-79.2353,26.77,50,0,2.57,US,1721591603
90,oliver,49.1831,-119.5524,32.95,27,0,0.51,CA,1721591604
91,wynyard,-41.0,145.7167,11.81,93,100,3.41,AU,1721591604
92,tolanaro,-25.0319,46.9987,19.04,94,20,0.0,MG,1721591604
93,las heras,-46.5419,-68.9359,7.83,76,15,11.49,AR,1721591604
94,saint-joseph,-21.3667,55.6167,20.21,81,17,2.56,RE,1721591604
95,bhagwantnagar,26.2333,80.75,31.79,59,100,4.45,IN,1721591605
96,ilulissat,69.2167,-51.1,10.01,71,75,2.06,GL,1721591605
97,codrington,-38.2667,141.9667,12.0,91,97,6.64,AU,1721591605
98,talnakh,69.4865,88.3972,5.62,78,0,5.22,RU,1721591606
99,atafu village,-8.5421,-172.5159,28.47,75,44,9.09,TK,1721591606
100,guerrero negro,27.9769,-114.0611,27.92,56,100,4.74,MX,1721591403
101,vorgashor,67.5833,63.95,8.05,65,98,2.94,RU,1721591606
102,bukama,-9.2,25.85,25.09,31,0,1.26,CD,1721591607
103,kovernino,57.1253,43.8142,15.85,97,66,3.26,RU,1721591607
104,timbuktu,16.7735,-3.0074,35.63,31,98,3.82,ML,1721591607
105,kalmunai,7.4167,81.8167,27.34,78,18,2.81,LK,1721591607
106,inari,68.906,27.0288,22.11,61,90,2.5,FI,1721591607
107,gavrilov-yam,57.3018,39.8533,17.91,95,99,2.28,RU,1721591608
108,stanley,54.868,-1.6985,15.29,73,20,1.54,GB,1721591608
109,luderitz,-26.6481,15.1594,13.81,76,86,3.89,NA,1721591608
110,lebu,-37.6167,-73.65,10.42,62,5,2.59,CL,1721591608
111,benghazi,32.1167,20.0667,28.38,64,0,3.54,LY,1721591608
112,kirakira,-10.4544,161.9205,26.31,86,10,4.54,SB,1721591609
113,astrea,9.4983,-73.9759,37.46,38,0,0.79,CO,1721591609
114,souillac,-20.5167,57.5167,18.53,94,20,2.57,MU,1721591609
115,georgetown,5.4112,100.3354,28.97,84,20,1.54,MY,1721591609
116,kone,-21.0595,164.8658,16.13,84,10,1.51,NC,1721591609
117,sofifi,0.7349,127.576,25.57,83,100,1.9,ID,1721591610
118,arraial do cabo,-22.9661,-42.0278,22.98,64,0,3.6,BR,1721591610
119,hotan,37.0997,79.9269,30.22,25,98,5.17,CN,1721591610
120,san juan del sur,11.2529,-85.8705,31.12,79,40,2.06,NI,1721591610
121,kuqa,41.7278,82.9364,28.56,28,99,2.02,CN,1721591610
122,kargopol',61.5071,38.9456,13.26,71,7,2.27,RU,1721591611
123,wailua homesteads,22.0669,-159.378,28.24,74,75,6.17,US,1721591611
124,holualoa,19.6228,-155.9522,27.53,73,0,3.6,US,1721591401
125,kismayo,-0.3582,42.5454,24.52,78,96,7.17,SO,1721591611
126,eureka,40.8021,-124.1637,17.01,88,100,4.47,US,1721591611
127,magadan,59.5667,150.8,13.16,93,100,1.84,RU,1721591411
128,bilibino,68.0546,166.4372,10.94,87,100,2.03,RU,1721591612
129,jieshi,22.8134,115.8257,28.49,84,100,4.12,CN,1721591612
130,eraan,9.0629,117.7016,26.15,84,100,3.76,PH,1721591612
131,kapa'a,22.0752,-159.319,27.83,72,20,4.63,US,1721591613
132,keflavik,64.0049,-22.5624,10.95,81,75,10.29,IS,1721591613
133,mhamid,29.82,-5.72,39.82,9,0,2.53,MA,1721591613
134,whitehorse,60.7161,-135.0538,26.17,46,75,0.0,CA,1721591613
135,papatowai,-46.5619,169.4708,7.43,82,97,5.93,NZ,1721591614
136,haiku-pauwela,20.9219,-156.3051,28.45,63,20,5.36,US,1721591614
137,punta arenas,-53.15,-70.9167,7.06,81,100,15.95,CL,1721591614
138,san antonio de pale,-1.4014,5.6325,23.55,74,0,2.28,GQ,1721591614
139,enewetak,11.3474,162.3373,28.28,80,98,7.37,MH,1721591614
140,hami,42.8,93.45,30.57,24,47,8.6,CN,1721591615
141,happy valley-goose bay,53.3168,-60.3315,22.17,43,75,3.6,CA,1721591615
142,karagandy,49.8019,73.1021,14.97,78,12,2.22,KZ,1721591615
143,klyuchi,52.2667,79.1667,19.04,81,84,3.81,RU,1721591615
144,ushuaia,-54.8,-68.3,6.81,65,0,2.57,AR,1721591551
145,hermanus,-34.4187,19.2345,5.45,77,0,1.47,ZA,1721591616
146,puerto baquerizo moreno,-0.9,-89.6,24.55,73,40,9.26,EC,1721591616
147,pearsall,28.8922,-99.095,38.84,29,37,3.34,US,1721591616
148,sitka,57.0531,-135.33,15.94,77,100,3.09,US,1721591616
149,college,64.8569,-147.8028,23.03,54,0,0.45,US,1721591616
150,onega,63.9061,38.1404,13.24,66,9,3.16,RU,1721591617
151,cova figueira,14.8905,-24.2934,19.84,76,5,2.08,CV,1721591617
152,badger,64.8,-147.5333,22.98,52,0,0.0,US,1721591617
153,lasem,-6.6922,111.4527,23.83,79,87,3.15,ID,1721591617
154,jaciara,-15.9653,-54.9683,33.02,14,0,2.4,BR,1721591617
155,east london,-33.0153,27.9116,14.21,58,65,1.59,ZA,1721591618
156,urengoy,65.9667,78.3667,7.94,61,1,3.37,RU,1721591618
157,gargalianoi,37.0667,21.6333,27.34,73,0,2.47,GR,1721591618
158,udachny,66.4167,112.4,14.12,91,100,8.99,RU,1721591618
159,'ain el melh,34.8415,4.1638,31.88,15,7,7.59,DZ,1721591618
160,chernyshevskiy,63.0128,112.4714,14.89,97,79,2.16,RU,1721591619
161,manay,7.215,126.5397,24.67,88,100,3.75,PH,1721591619
162,thunder bay,48.4001,-89.3168,23.99,41,20,2.57,CA,1721591451
163,contramaestre,20.2978,-76.2414,36.21,40,80,1.8,CU,1721591619
164,tadine,-21.55,167.8833,18.99,76,6,3.77,NC,1721591619
165,taki,22.5861,88.9214,28.97,89,99,4.17,IN,1721591620
166,huinan,42.6225,126.2614,21.32,93,100,2.26,CN,1721591620
167,bubaque,11.2833,-15.8333,26.97,84,100,6.45,GW,1721591620
168,choibalsan,48.0667,114.5,19.78,78,100,4.24,MN,1721591620
169,bei'an,46.4398,126.2373,20.84,91,100,1.0,CN,1721591620
170,xuddur,4.1213,43.8894,23.25,66,100,8.63,SO,1721591621
171,belyy yar,53.6039,91.3903,17.94,94,40,3.0,RU,1721591621
172,guiuan,11.0333,125.7247,29.14,76,100,6.57,PH,1721591622
173,coahuayana de hidalgo,18.7,-103.6583,31.26,65,72,3.27,MX,1721591622
174,kerikeri,-35.2268,173.9474,12.87,84,75,3.87,NZ,1721591622
175,fougamou,-1.2154,10.5838,24.81,60,14,0.92,GA,1721591622
176,zuyevka,58.405,51.1335,12.73,65,6,3.5,RU,1721591622
177,umluj,25.0213,37.2685,31.17,60,11,2.52,SA,1721591623
178,malvan,16.0667,73.4667,27.09,85,100,9.12,IN,1721591623
179,ilam,26.9167,87.9167,22.85,93,100,1.24,NP,1721591623
180,santiago de cuba,20.0247,-75.8219,32.06,66,75,6.69,CU,1721591623
181,nar'yan-mar,67.6713,53.087,10.74,63,95,2.02,RU,1721591624
182,puerto ayacucho,5.6639,-67.6236,25.83,90,100,2.9,VE,1721591624
183,sihanoukville,10.6093,103.5296,25.97,100,100,1.54,KH,1721591624
184,siwa oasis,29.2041,25.5195,35.75,19,2,3.26,EG,1721591624
185,novaya ladoga,60.1025,32.3019,16.55,95,13,1.05,RU,1721591624
186,selkirk,50.1436,-96.8845,28.37,66,4,0.89,CA,1721591625
187,tanjungtiram,4.0613,98.3699,25.19,94,100,1.4,ID,1721591625
188,callao,-12.0667,-77.15,18.16,68,100,3.6,PE,1721591625
189,anadyr,64.75,177.4833,12.28,87,100,3.0,RU,1721591625
190,sinaloa de leyva,25.8333,-108.2333,36.15,38,0,3.18,MX,1721591625
191,kununurra,-15.7667,128.7333,13.99,51,71,0.0,AU,1721591626
192,afaahiti,-17.75,-149.2833,24.93,70,99,10.59,PF,1721591626
193,kribi,2.95,9.9167,24.31,86,83,2.63,CM,1721591626
194,ust-nera,64.5667,143.2,13.71,87,100,1.41,RU,1721591627
195,san patricio,28.017,-97.5169,34.93,52,53,4.62,US,1721591627
196,fort mcmurray,56.7268,-111.381,28.77,57,75,1.54,CA,1721591627
197,treasure island,27.7692,-82.769,35.16,62,0,2.06,US,1721591627
198,bodo,67.28,14.405,24.02,48,0,7.2,NO,1721591627
199,morondava,-20.2833,44.2833,21.81,72,0,4.72,MG,1721591628
200,lihue,21.9789,-159.3672,27.42,75,20,4.63,US,1721591628
201,bafra,41.5678,35.9069,23.51,84,0,1.58,TR,1721591628
202,porto novo,6.4965,2.6036,24.9,84,19,3.45,BJ,1721591628
203,hermosillo,29.0667,-110.9667,36.12,45,26,1.93,MX,1721591593
204,island harbour,50.724,-1.2758,19.07,74,6,1.79,GB,1721591629
205,mount isa,-20.7333,139.5,2.87,65,0,2.57,AU,1721591629
206,heers,50.75,5.3,21.64,89,40,1.54,BE,1721591630
207,oranjemund,-28.55,16.4333,12.57,87,100,5.03,NA,1721591630
208,massawa,15.6097,39.45,38.1,39,68,2.71,ER,1721591630
209,chortoq,41.0666,71.8553,27.97,27,100,2.63,UZ,1721591630
210,formosa do rio preto,-11.0483,-45.1931,29.46,24,26,3.87,BR,1721591630
211,mlada boleslav,50.4114,14.9032,24.88,52,43,2.36,CZ,1721591631
212,garforth,53.7917,-1.3807,18.17,60,66,0.45,GB,1721591631
213,veraval,20.9,70.3667,27.49,89,100,8.35,IN,1721591631
214,campbellton,48.0075,-66.6727,21.25,48,57,5.39,CA,1721591631
215,djambala,-2.5447,14.7533,26.68,36,100,1.05,CG,1721591632
216,sunne,59.8376,13.143,21.18,72,100,1.4,SE,1721591632
217,nouadhibou,20.931,-17.0347,22.36,80,16,7.37,MR,1721591632
218,karymskoye,51.6167,114.35,18.07,63,81,1.31,RU,1721591633
219,huicungo,-7.2833,-76.8,33.08,36,4,2.19,PE,1721591633
220,tindouf,27.6711,-8.1474,44.25,9,20,1.54,DZ,1721591633
221,toliara,-23.35,43.6667,19.35,80,0,4.2,MG,1721591633
222,suva,-18.1416,178.4415,19.71,100,20,2.06,FJ,1721591633
223,kodiak,57.79,-152.4072,15.73,77,75,4.63,US,1721591634
224,tukrah,32.5341,20.5791,27.71,69,0,1.17,LY,1721591634
225,puerto colombia,10.9878,-74.9547,32.05,71,100,5.9,CO,1721591634
226,carnarvon,-24.8667,113.6333,18.66,49,0,2.21,AU,1721591634
227,luwuk,-0.9516,122.7875,22.54,91,99,1.93,ID,1721591634
228,cabedelo,-6.9811,-34.8339,27.37,80,13,7.8,BR,1721591634
229,labrador city,52.9463,-66.9114,10.95,77,100,16.09,CA,1721591635
230,el nido,11.1858,119.3956,28.22,76,100,5.7,PH,1721591635
231,la passe,45.5549,-0.8967,19.13,72,96,6.21,FR,1721591635
232,bismarck,46.8083,-100.7837,28.81,51,0,2.57,US,1721591635
233,loa janan,-0.583,117.095,24.15,96,100,1.3,ID,1721591636
234,arraias,-12.9288,-46.9437,28.74,24,61,2.6,BR,1721591636
235,pandan,14.0453,124.1694,26.91,86,100,4.72,PH,1721591636
236,qarqaraly,49.4058,75.4742,15.17,82,7,1.72,KZ,1721591636
237,uruacu,-14.5247,-49.1408,30.3,24,2,2.44,BR,1721591636
238,saldanha,-33.0117,17.9442,9.03,72,22,5.51,ZA,1721591637
239,lazaro cardenas,17.9583,-102.2,29.73,66,87,4.25,MX,1721591637
240,longyearbyen,78.2186,15.6401,8.91,81,75,1.03,SJ,1721591637
241,varash,51.3485,25.8497,19.23,78,100,2.21,UA,1721591637
242,flying fish cove,-10.4217,105.6791,24.82,78,75,6.17,CX,1721591637
243,suchedniow,51.0478,20.8292,23.13,55,97,2.11,PL,1721591638
244,cabo san lucas,22.8909,-109.9124,32.32,61,6,6.62,MX,1721591638
245,zhujiajiao,31.1076,121.057,29.97,87,100,3.83,CN,1721591638
246,gaigeturi,33.4644,126.3183,26.03,94,40,1.54,KR,1721591638
247,general pinedo,-27.3167,-61.2833,22.42,50,24,4.19,AR,1721591638
248,argo,37.6333,22.7333,29.32,45,0,1.19,GR,1721591639
249,balpyk bi,44.8947,78.2083,21.68,39,8,2.54,KZ,1721591639
250,bac lieu,9.285,105.7244,25.99,86,80,4.21,VN,1721591640
251,pahrump,36.2083,-115.9839,41.58,14,6,1.34,US,1721591640
252,aioun,16.6614,-9.6149,36.57,35,27,6.23,MR,1721591640
253,mugla,37.2303,28.3557,25.42,45,0,1.58,TR,1721591640
254,busan,35.1028,129.0403,26.99,89,75,3.09,KR,1721591411
255,balcarce,-37.8462,-58.2552,13.23,45,35,0.89,AR,1721591641
256,kirkland lake,48.1446,-80.0377,22.16,40,51,3.6,CA,1721591362
257,taghazout,30.5426,-9.7112,24.43,75,6,3.72,MA,1721591641
258,hithadhoo,-0.6,73.0833,29.27,73,5,5.88,MV,1721591641
259,catumbela,-12.4314,13.5472,21.07,87,66,1.36,AO,1721591641
260,sittwe,20.15,92.9,27.54,87,100,8.12,MM,1721591642
261,cururupu,-1.8283,-44.8683,28.74,58,19,1.96,BR,1721591642
262,tazacorte,28.629,-17.9293,24.53,80,40,6.69,ES,1721591642
263,forster,-32.1667,152.5167,7.57,79,0,2.77,AU,1721591636
264,duncan,34.5023,-97.9578,31.94,56,97,5.46,US,1721591620
265,lae,-6.7221,146.9847,24.37,90,100,0.44,PG,1721591643
266,itoman,26.1247,127.6694,30.05,82,75,3.09,JP,1721591644
267,kovrov,56.3572,41.3192,15.77,97,79,1.93,RU,1721591644
268,chernyshevsk,52.5243,117.0174,14.76,70,5,2.76,RU,1721591644
269,hola,51.5377,23.1902,21.1,61,76,3.39,PL,1721591644
270,vila franca do campo,37.7167,-25.4333,24.23,76,28,2.45,PT,1721591645
271,hawaiian paradise park,19.5933,-154.9731,26.73,78,100,2.06,US,1721591645
272,gazojak,41.1875,61.4036,32.99,21,61,2.07,TM,1721591645
273,smithers,54.7804,-127.1743,26.18,47,20,2.06,CA,1721591645
274,jumla,29.2747,82.1838,16.59,96,100,1.57,NP,1721591645
275,berwick-upon-tweed,55.7833,-2.0,17.78,82,91,4.84,GB,1721591646
276,wakkanai,45.4094,141.6739,19.92,98,99,12.92,JP,1721591646
277,colonia,50.9333,6.95,22.47,78,20,4.63,DE,1721591532
278,colares,38.7992,-9.4469,21.55,72,20,11.62,PT,1721591646
279,al qubbah,32.7616,22.2424,24.32,59,0,6.56,LY,1721591646
280,spirovo,57.419,34.9766,14.76,98,65,1.43,RU,1721591646
281,sovetskaya gavan',48.9723,140.2878,15.19,99,100,2.23,RU,1721591647
282,as suwayrah,32.9256,44.7758,37.0,15,0,2.61,IQ,1721591647
283,el porvenir,13.7617,-87.3458,29.63,69,100,0.66,HN,1721591647
284,selfoss,63.9331,-20.9971,10.02,70,38,5.44,IS,1721591647
285,neelankarai,12.9455,80.2575,31.07,67,75,5.14,IN,1721591648
286,bamiantong,44.9333,130.5333,19.78,95,99,2.1,CN,1721591648
287,pierre,44.3683,-100.351,27.51,54,40,5.14,US,1721591637
288,luena,-11.7833,19.9167,17.2,25,1,1.55,AO,1721591648
289,afif,23.9065,42.9172,34.18,9,100,8.21,SA,1721591648
290,jinxiang,27.4327,120.6062,26.78,88,89,0.62,CN,1721591649
291,princeville,45.7668,-61.2985,25.36,72,0,3.6,CA,1721591649
292,lekki,6.3607,4.8333,23.53,95,67,1.59,NG,1721591649
293,mahdishahr,35.7108,53.3556,24.8,47,25,4.58,IR,1721591649
294,savalou,7.9281,1.9756,23.47,91,31,2.19,BJ,1721591649
295,ambon,-3.6954,128.1814,27.15,95,75,1.03,ID,1721591650
296,loango,-4.6719,11.8312,20.81,94,20,2.06,CG,1721591650
297,macau,22.2006,113.5461,29.85,89,40,4.63,MO,1721591650
298,aasiaat,68.7098,-52.8699,4.09,93,100,2.31,GL,1721591650
299,adrar,20.5022,-10.0711,39.51,6,100,4.58,MR,1721591650
300,flin flon,54.7682,-101.865,27.91,57,100,4.63,CA,1721591651
301,brisas barra de suchiate,14.55,-92.2167,33.1,71,59,3.26,MX,1721591651
302,pisticci,40.3906,16.5568,27.69,76,4,1.94,IT,1721591651
303,nadi,-17.8,177.4167,21.0,88,20,1.03,FJ,1721591651
304,kil,59.5072,13.314,20.94,73,100,2.06,SE,1721591651
305,okhotsk,59.3833,143.3,11.85,95,100,3.0,RU,1721591652
306,bad munstereifel,50.55,6.7667,20.21,78,25,2.64,DE,1721591652
307,ta`u,-14.2336,-169.5144,26.59,69,83,10.28,AS,1721591652
308,mount gambier,-37.8333,140.7667,11.49,97,69,3.9,AU,1721591652
309,mccomb,31.2438,-90.4531,30.57,77,100,2.35,US,1721591652
310,sain alto,23.5833,-103.25,26.59,33,12,4.82,MX,1721591653
311,guasdualito,7.2424,-70.7324,32.0,62,40,3.09,VE,1721591653
312,codajas,-3.8367,-62.0569,36.23,27,100,1.31,BR,1721591653
313,karratha,-20.7377,116.8463,18.03,27,5,4.65,AU,1721591653
314,taitung city,22.7583,121.1444,27.26,79,85,2.7,TW,1721591654
315,virar,19.4667,72.8,27.05,91,100,8.13,IN,1721591654
316,pemangkat,1.1667,108.9667,26.34,88,100,3.48,ID,1721591654
317,vrangel',42.7297,133.0839,18.9,98,70,1.98,RU,1721591654
318,pleven,43.4167,24.6167,27.97,57,40,1.03,BG,1721591654
319,remire-montjoly,4.9167,-52.2667,28.02,78,0,1.54,GF,1721591655
320,el alto,-4.2714,-81.2147,22.81,70,1,9.45,PE,1721591655
321,qaqortoq,60.7167,-46.0333,7.33,83,13,2.72,GL,1721591655
322,kargasok,59.0556,80.8572,13.14,87,100,3.25,RU,1721591655
323,kamaishi,39.2667,141.8833,23.33,84,76,3.4,JP,1721591656
324,kurumkan,54.3,110.3,21.11,63,46,1.56,RU,1721591656
325,anna regina,7.2644,-58.5077,28.81,72,7,3.3,GY,1721591656
326,cockburn town,21.4612,-71.1419,30.98,79,40,7.2,TC,1721591656
327,tralee,52.2704,-9.7026,15.47,95,100,3.47,IE,1721591408
328,stornoway,58.2093,-6.3865,14.98,75,100,3.09,GB,1721591657
329,xilin hot,43.9667,116.0333,19.1,87,1,1.99,CN,1721591657
330,guiren,33.6697,118.1889,27.85,83,34,3.24,CN,1721591657
331,mutuali,-14.8706,37.0044,19.07,44,16,1.57,MZ,1721591657
332,ghat,24.9647,10.1728,35.35,11,2,4.13,LY,1721591657
333,along,28.1667,94.7667,22.17,99,100,0.58,IN,1721591658
334,chashniki,54.8569,29.1607,16.88,83,57,0.94,BY,1721591658
335,altai,46.3722,96.2583,15.54,56,58,2.8,MN,1721591658
336,saskatoon,52.1168,-106.6345,33.42,36,75,2.57,CA,1721591627
337,sabha,27.0377,14.4283,33.91,19,0,3.56,LY,1721591494
338,jamtara,23.95,86.8,28.02,82,87,3.99,IN,1721591658
339,andergrove,-21.0833,149.1833,8.69,55,0,6.15,AU,1721591659
340,yuzhno-kurilsk,44.0306,145.8556,15.96,98,95,3.65,RU,1721591659
341,kristiansund,63.1115,7.732,19.03,89,75,3.09,NO,1721591659
342,flekkefjord,58.2971,6.6607,19.41,99,100,1.07,NO,1721591659
343,gulf shores,30.246,-87.7008,30.19,85,0,2.06,US,1721591659
344,mantua,45.1667,10.7833,29.53,83,38,2.33,IT,1721591660
345,yinchuan,38.4681,106.2731,28.49,28,5,1.73,CN,1721591660
346,eyl,7.9803,49.8164,25.54,76,48,12.49,SO,1721591660
347,la gi,10.6667,107.7833,24.97,90,100,4.27,VN,1721591660
348,azovo,54.6997,73.0237,16.86,97,63,3.05,RU,1721591661
349,maxixe,-23.8597,35.3472,19.91,88,20,1.54,MZ,1721591661
350,the pas,53.8251,-101.2541,27.01,69,40,2.57,CA,1721591661
351,jiayuguan,39.8167,98.3,24.89,23,0,5.49,CN,1721591661
352,nizhniy odes,63.6445,54.856,10.71,59,23,2.56,RU,1721591661
353,nassau village-ratliff,30.5111,-81.8093,34.44,69,75,6.17,US,1721591662
354,nogliki,51.8333,143.1667,13.28,99,100,2.81,RU,1721591662
355,gurupi,-11.7292,-49.0686,32.03,21,95,3.24,BR,1721591661
356,yeniseysk,58.4497,92.1703,16.95,90,100,0.47,RU,1721591662
357,luanda,-8.8368,13.2343,20.02,88,2,3.9,AO,1721591410
358,torbat-e jam,35.244,60.6225,27.59,20,0,5.25,IR,1721591663
359,sumbawa besar,-8.5,117.4333,20.22,91,75,1.87,ID,1721591663
360,mogocha,53.7333,119.7667,11.84,90,8,1.04,RU,1721591663
361,moussoro,13.6408,16.4901,29.5,60,70,2.62,TD,1721591663
362,santo domingo,18.5001,-69.9886,33.8,64,20,4.12,DO,1721591664
363,magdagachi,53.45,125.8,14.57,96,1,1.72,RU,1721591664
364,port saint john's,-31.6229,29.5448,15.2,68,100,1.67,ZA,1721591664
365,guymon,36.6828,-101.4816,26.0,53,75,4.12,US,1721591664
366,leamington,42.0549,-82.6062,27.99,29,100,4.02,CA,1721591664
367,turaif,31.6725,38.6637,32.14,17,0,3.6,SA,1721591665
